scenario,base_text,baseline_prob,tokens,fitness,reduction_pct
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 113983, 106920]",0.10009765625,10.550694801852805
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 127896, 106920]",0.0185546875,1.9557385486361298
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 127896, 106920]",0.0185546875,1.9557385486361298
strong_prediction_fox,The quick brown,0.94873046875,"[127896, 106920, 113983]",0.001953125,0.2058672156459084
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
weak_prediction_weather,The weather is,0.07891845703125,"[120325, 126173, 111067]",0.07765865325927734,98.40366395978344
